,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
3887,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-05-27T00:24:53+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.100884,Person and Vehicle search,Asian,Controlled drugs
3888,A no further action disposal,25-34,White - Any other White background,Male,2020-05-27T01:14:19+00:00,bu-no-further-action,A no further action disposal,51.516496999999994,-0.094115,Person search,White,Article for use in theft
3889,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-05-27T03:03:49+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.100884,Person and Vehicle search,Asian,Controlled drugs
3892,A no further action disposal,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,2020-05-28T11:48:08+00:00,bu-no-further-action,A no further action disposal,51.518864,-0.097562,Person search,Black,Controlled drugs
3893,A no further action disposal,25-34,Asian/Asian British - Pakistani,Male,2020-05-28T04:30:27+00:00,bu-no-further-action,A no further action disposal,51.516894,-0.076067,Person and Vehicle search,Other,Controlled drugs
3894,A no further action disposal,18-24,White - Any other White background,Male,2020-05-28T04:38:27+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Article for use in theft
3895,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-05-28T04:40:18+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,White,Article for use in theft
3896,A no further action disposal,25-34,Asian/Asian British - Any other Asian background,Male,2020-05-28T05:46:13+00:00,bu-no-further-action,A no further action disposal,51.516894,-0.076067,Person search,Asian,Controlled drugs
3897,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-05-28T06:08:56+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,White,Article for use in theft
3898,A no further action disposal,18-24,White - Any other White background,Male,2020-05-28T06:34:51+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,Other,Article for use in theft
3899,A no further action disposal,18-24,White - Any other White background,Male,2020-05-28T06:38:53+00:00,bu-no-further-action,A no further action disposal,51.516814000000004,-0.08162,Person search,White,Article for use in theft
3902,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-05-28T04:10:45+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,Asian,Stolen goods
3903,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-05-28T04:10:45+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person search,Asian,Stolen goods
3908,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2020-05-29T00:10:12+00:00,bu-no-further-action,A no further action disposal,51.534438,-0.07874500000000001,Person search,Asian,Controlled drugs
3909,A no further action disposal,25-34,Asian/Asian British - Pakistani,Male,2020-05-29T00:18:19+00:00,bu-no-further-action,A no further action disposal,51.534438,-0.07874500000000001,Person and Vehicle search,Asian,Controlled drugs
3912,A no further action disposal,25-34,Mixed/Multiple ethnic groups - White and Black Caribbean,Male,2020-05-29T07:09:46+00:00,bu-no-further-action,A no further action disposal,51.516346999999996,-0.104887,Person and Vehicle search,Black,Controlled drugs
3913,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-05-29T07:41:51+00:00,bu-no-further-action,A no further action disposal,51.512147,-0.09207699999999999,Person and Vehicle search,Asian,Controlled drugs
3914,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-05-30T02:06:51+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person search,White,Controlled drugs
3915,A no further action disposal,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2020-05-30T02:17:33+00:00,bu-no-further-action,A no further action disposal,51.517576,-0.079786,Person search,White,Controlled drugs
3916,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Female,2020-05-30T06:32:45+00:00,bu-no-further-action,A no further action disposal,51.506254999999996,-0.074901,Person search,White,
3917,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2020-05-30T05:58:57+00:00,bu-no-further-action,A no further action disposal,51.506338,-0.088227,Person and Vehicle search,Black,Controlled drugs
3918,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-05-30T06:00:35+00:00,bu-no-further-action,A no further action disposal,51.506338,-0.088227,Person and Vehicle search,Black,Controlled drugs
3919,A no further action disposal,,Other ethnic group - Not stated,Male,2020-05-30T07:17:50+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,Black,Controlled drugs
3920,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-05-30T07:39:40+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person and Vehicle search,Black,Controlled drugs
3921,A no further action disposal,,,Male,2020-05-30T07:42:41+00:00,bu-no-further-action,A no further action disposal,51.512598,-0.084967,Person search,,Controlled drugs
3922,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-06-28T04:14:21+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,Black,Controlled drugs
3923,A no further action disposal,10-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Male,2020-06-28T04:25:39+00:00,bu-no-further-action,A no further action disposal,51.516351,-0.082965,Person search,Black,Controlled drugs
